date, ticker, positive, tweets
2017-04-01, XCOM, 0.336014, 55177
2017-04-01, SPX, 0.340067, 76317
2017-04-01, SPY, 0.443438, 249836
2017-04-01, SPP, 0.467601, 486334
2017-04-01, SPR, 0.248095, 76397
2017-04-01, SPU, 0.640488, 302232
2017-04-01, PHMD, 0.365591, 485435
2017-04-01, SPH, 0.456250, 229251
2017-04-01, SPI, 0.594369, 210984
2017-04-01, SPN, 0.693694, 50974
2017-04-01, SPA, 0.551790, 791908
2017-04-01, SPB, 0.697233, 416432
2017-04-01, MSSR, 0.442637, 223947
2017-04-01, SPE, 0.553706, 45664
2017-04-01, SPF, 0.376930, 80269
2017-04-01, SPG, 0.531095, 721791
2017-04-01, IXJ, 0.365742, 53619
2017-04-01, RCH.CA, 0.411496, 835710
2017-04-01, XPH, 0.539331, 165537
2017-04-01, XPO, 0.436203, 126500
2017-04-01, XPL, 0.623596, 23768
2017-04-01, IXC, 0.603839, 165448
2017-04-01, IXG, 0.585812, 192943
2017-04-01, IXP, 0.369084, 809667
2017-04-01, XPP, 0.484951, 3580
2017-04-01, ASHS, 0.602030, 353317
2017-04-01, REMX, 0.560123, 260149
2017-04-01, JNP, 0.679899, 456524
2017-04-01, PQG, 0.592294, 233326
2017-04-01, JNY, 0.366366, 93667
2017-04-01, REML, 0.433263, 644506
2017-04-01, OKTA, 0.132387, 67777
2017-04-01, JNK, 0.822018, 62320
2017-04-01, JNJ, 0.844802, 196365
2017-04-01, TRHC, 0.521957, 333342
2017-04-01, BEN, 0.677469, 704045
2017-04-01, BEL, 0.388764, 282255
2017-04-01, DCN.X, 0.698923, 428332
2017-04-01, BEC, 0.312641, 464956
2017-04-01, GTIM, 0.335942, 72932
2017-04-01, BEE, 0.585394, nan
2017-04-01, BEP, 0.503286, 332616
2017-04-01, GHDX, 0.444328, 375822
2017-04-01, BIRT, 0.427562, 265339
2017-04-01, ICAGY, 0.322648, 81975
2017-04-01, SBB.CA, 0.494367, 52895
2017-04-01, GRT, 0.414081, 13984
2017-04-01, TPRE, 0.931040, 16325
2017-04-01, GRR, 0.595797, 327750
2017-04-01, GRP, 0.636553, 55796
2017-04-01, EIRL, 0.327910, 454893
2017-04-01, GRZ, 0.227605, 362375
2017-04-01, GRX, 0.630661, 741873
2017-04-01, GRF, 0.524187, 475234
2017-04-01, GRB, 0.866528, 84027
2017-04-01, GRC, 0.267566, 66805
